sample,NH4,NO3,ST,WFPS,pH,Production,Reduction,Fe_redox,DOC
62,1.099809791,33.37702799,29,28.74865118,7.01,6.380535245,0.3603005,2.262744653,37.71572284
63,1.09362115,20.4869849,30,27.2734255,7.01,9.328108456,0.199413362,1.965012449,44.53373416
64,182.8690244,66.82193833,28,41.18324614,6.73,20.24708567,0.600343517,1.986453319,46.49099747
65,222.0807005,60.89815242,27,35.45793491,5.79,24.04249445,1.112178563,2.072787436,55.80493986
66,2.785191399,33.31088913,27,42.4581028,6.18,18.14979795,0.176153549,0.803843086,43.24914245
67,139.7525559,215.9297064,27,39.26401384,6.51,21.45646807,1.292140039,3.250751005,58.899063
68,1.899148794,72.95053421,28,34.11702155,5.54,6.014062888,0.177072478,2.682771119,41.53854451
69,1.704762428,114.7792189,28,35.42302704,6.09,7.640449268,0.619974137,3.315650038,47.67185933
70,3.55341779,142.4813367,28,32.46999321,5.56,6.510369871,0.89074222,2.336197536,41.33729226
71,0.816469261,106.2650866,28,32.62825592,5.98,9.223121391,0.283940941,2.372983987,39.55357543
72,1.126388108,41.14358864,28,32.54949494,5.71,5.545068019,0.131933487,2.295741636,36.28991799
73,4.575235291,77.91934377,27,47.94777195,6.62,31.54812749,1.005325393,2.373959447,54.21979828
74,225.956291,37.48487057,27,43.8119509,6.16,27.43311623,1.082390368,2.542382749,47.44466227
75,1.116391962,24.60744423,29,59.82071675,6.33,90.91708663,1.603585749,2.329734468,39.2310086
76,120.6531802,36.8297731,28,59.34383237,5.83,64.50595245,1.699134785,1.822420718,46.7743851
77,0.531979232,59.03723789,28,40.27768754,5.67,14.13335011,0.351374317,1.867519165,39.0534188
78,0.683531456,17.67627044,27,42.26818886,6.2,18.17466807,0.543006988,3.28632128,38.16924656
79,1.679244343,32.91114803,27,41.16343435,5.1,21.51699517,0.791420411,1.817124678,50.46497873
80,0.626748862,95.27450059,26,37.45768939,6.03,9.167210316,0.183263982,2.032266831,37.34037647
81,0.99002228,30.79944086,26,39.04818797,5.85,15.90363152,0.497098387,1.668223764,41.52756561
82,2.303347389,25.09205808,25.9,46.94431267,6.73,6.505380868,0.83120697,2.163525895,38.40567452
83,142.742817,101.4183677,26,39.77713809,5.71,7.737238033,0.245410106,2.245925949,51.85015072
84,0.760802544,22.93460802,27,43.6217366,6.27,27.67256439,0.554259031,2.4554786,31.32999601
85,34.17628154,85.76306904,26,39.28417882,5.49,19.72442734,1.346527852,1.978800329,37.21193733
86,0.500597093,56.38102678,26.3,36.32960486,5.85,1.978960371,0.453825626,2.182431436,31.97597708
87,0.390945498,16.39094321,26.4,44.28431381,6.41,1.741937938,0.54430787,1.905846707,29.95643556
88,1.955550863,36.48806059,25.9,38.89725387,5.53,8.602988945,1.129368845,1.839248882,34.90044724
89,0.403189233,16.64282474,26,40.21881412,6.08,3.135010482,0.618417897,2.155617221,35.78441066
90,0.491156114,11.16994073,27,35.15644555,5.77,2.295039182,0.460553805,1.791445108,28.96935686
91,1.083610421,1.238635155,22,47.1170723,6.76,12.98501105,0.985654203,2.129207525,51.7946725
92,0.921182474,24.80408777,21.8,41.39018476,6.12,9.457367199,0.762688348,1.877184014,51.63041359
93,0.836610467,2.068574907,22,43.09525801,6.19,8.720191603,0.763131177,2.414054674,48.04183686
94,11.14096894,37.58849875,23,39.65127969,5.99,8.847686946,1.801297589,1.895063725,41.02981622
95,0.415972155,45.388125,23.7,37.61084541,5.71,1.648204716,1.236641077,1.463067699,37.43822946
96,0.57361414,3.665982678,23.3,40.99767701,6.29,0.925177945,0.723012471,1.877184014,36.49081956
97,0.341546484,4.506990482,23.2,37.91995565,5.72,6.705307518,1.437407712,2.16680049,39.47418221
98,0.56385273,26.5382716,23,36.95823532,6.07,3.262195095,0.838097837,1.961295846,45.32209196
99,0.55374085,1.36213255,23,35.49941246,5.8,1.324046697,0.5185676,1.877184014,33.52596252
100,0.794233029,0.888199633,14,30.20297721,6.72,0.631634658,0.105157133,2.814923846,40.82126255
101,1.707464325,21.74626564,14,25.21285468,5.87,0.412194813,0.166916912,2.327925175,39.09661642
102,0.995798632,1.990223749,16,28.23671985,6.39,0.249936258,0.085318771,2.719218046,37.74135686
103,9.494532408,27.50813157,15,23.99550099,5.45,0.29993598,0.140549962,1.825604744,40.80020971
104,0.40059506,7.078245527,16,26.72178742,6.1,0.146199699,0.051140305,1.713792664,27.08908681
105,0.489022173,2.34730643,16,30.66928747,6.28,0.129353738,0.105262448,2.824682019,29.09969151
106,0.60497008,3.422600842,17,31.46694882,5.71,0.469697847,0.221932556,2.220561392,35.80926647
107,0.698988131,9.89645706,15.9,29.72394279,6.15,0.272635649,0.098518079,2.432292497,33.50953292
108,0.383540959,0.946669378,15.6,26.61004153,6.07,0.189475574,0.061926422,1.831294181,27.57446704
