sample,CO2_flux,NH4,NO3 ,SOC,TN ,ST,WFPS,pH,Production,Reduction,GMR,GNR,Nitrification_N2O_flux,Denitrification_N2O_flux,Fe_redox,DOC,MBC,POC
11,0.551485402,1.262398475,63.33773178,22.54638377,2.112131231,28.8,20.17665327,6.3,2.261412528,0.192098673,7.426747601,35.16456376,0.781185114,0.964678621,0.83667,58.38961126,171.7698669,2.585045828
12,0.405305158,4.985921343,38.40089744,21.1977559,1.883426935,24,18.37223712,5.27,0.23779303,0.096781227,3.249766207,6.673679849,0.100293186,0.077363646,1.328825361,25.21548156,139.6243847,1.269241046
13,0.351891527,1.589230625,45.60524448,22.02782148,1.997147566,28.4,26.5741287,5.9,0.261667888,0.139725834,5.131803676,5.851704441,1.009494693,0.67646207,0.378630913,47.54693776,141.0484645,2.240293154
14,0.5733592,0.938915886,43.0667704,22.96602056,2.058124542,26.2,48.39116028,5.63,0.274643226,0.025188186,1.374205347,5.323428737,0.399940062,0.209925843,0.471335392,38.979031,141.6948207,2.389513914
15,0.505538961,2.356304968,23.9868565,21.11854849,1.949783751,24.7,55.2807492,6.14,7.230382177,0.526123465,2.346405573,15.29930349,0.946717549,16.63734382,2.087050782,62.83821768,123.1904971,1.843278683
16,0.781003621,1.113317365,105.6771069,22.32723741,2.116306114,33.6,24.65872339,5.38,2.74916628,0.295637898,5.159425419,8.847134763,0.182670607,1.26534502,1.973141861,127.8672343,115.9147862,3.845299587
17,0.45132429,2.544771616,36.26675948,18.87001122,1.734135248,24,9.733706602,5.72,0.120390433,0.071821692,1.88939064,18.04490755,0.461191764,0.126971839,1.544848316,37.06829614,180.6303577,1.654148262
18,0.430688325,0.934466437,27.35311872,19.6997797,1.848764841,28.7,17.84512877,6.14,0.155924987,0.044595444,0.808019926,19.97396239,0.355242387,0.163703102,0.523643159,42.92224322,127.8642022,1.778021582
19,0.37737413,0.664540754,4.05667892,19.61803532,1.832655414,25.2,39.25928329,6.32,0.233217525,0.127882943,2.483149613,0.635421823,0.226062472,0.098555514,0.984089123,24.43421226,126.5873353,1.932539285
20,0.366703975,2.123081884,17.43768766,20.7706045,1.919276236,23.1,53.37315787,5.82,3.766788143,0.142457723,2.404251061,3.53215061,0.632192875,0.577571624,1.450875341,20.07154916,96.665666,2.102650613
21,0.65963652,0.862728707,89.35468088,22.77431809,2.001581397,25.1,29.87919463,5.48,2.504201129,0.156354339,1.363561669,6.352674766,0.367268965,0.174497811,1.238291354,97.79029614,60.34006012,4.320939938
22,0.430538161,2.760295058,49.33300258,20.54530499,1.678720287,24.5,24.01006711,5.5,0.286425198,0.088138952,1.151611882,4.662794846,0.22955941,0.070506772,0.25908904,33.21220408,127.1786522,2.163613594
23,0.351891527,1.310164325,9.419892304,22.39853598,1.866987797,26.3,32.90268456,5.94,0.237358825,0.046164119,2.503234362,8.985725937,14.04782873,2.971845225,0.858479573,13.08054583,101.170579,2.370473377
24,0.610705374,0.801212908,7.045962732,21.47432761,1.802071706,22.5,35.2147651,6.22,0.123014281,0.019932213,3.78990816,4.747782175,0.927905834,0.943965427,0.370784354,17.8317811,50.57087696,2.740778039
25,0.423135857,1.046007764,15.69852864,19.62494095,1.885091158,20.1,60.29194631,5.91,4.862745623,0.133064368,2.0770353,0.2025521,0.2070948,0.848219533,1.004212626,31.81662436,148.1074924,2.107739176
26,0.490781688,1.327228354,31.05891612,18.38213901,1.743235435,27.8,30.13652175,5.3,2.332571271,0.119147375,5.149874274,8.837582795,1.0591658,0.845199202,1.065670558,60.43139616,127.1786522,3.599832708
27,0.531563208,3.198895906,62.20001286,16.82723917,1.507238306,24,13.17344963,5.18,0.241360494,0.197994893,2.660536666,2.088443667,0.174666334,0.149919189,0.126624662,47.97284326,131.1015346,1.815747598
28,0.436389621,1.101671583,25.34644104,17.0505889,1.555669933,26.5,22.19636033,5.32,0.13669573,0.054686732,1.950045155,11.48353126,0.181316026,0.217269077,0.600703288,34.8904207,81.01888204,1.940877721
29,0.65963652,0.796304048,4.375757124,18.49544275,1.676018677,21.6,43.49042959,6.01,0.137419367,0.040991177,3.087264432,1.743714575,0.263209898,0.340276688,0.134852954,37.0468652,83.30518126,2.572935493
30,0.531563208,1.336387934,20.89387608,18.13127785,1.702477825,20.4,54.67883886,5.71,4.816098437,0.14456258,3.87936566,12.50200443,0.357412541,4.877908863,0.546334287,79.81028496,67.9876957,1.783473465
31,0.652899936,1.538648438,66.09805542,21.13732959,1.935301173,27.5,27.03910074,5.34,1.953842694,0.539712841,2.52566275,6.611592765,0.202659413,0.41117451,2.185877347,95.81407078,101.170579,3.165680682
32,0.383812011,2.370692015,48.42517408,18.00320407,1.56299677,25.4,20.45265312,5.38,0.293937177,0.183010675,1.963099957,25.27864501,0.208090628,0.063833656,0.608490075,18.22823809,152.5666012,1.557274289
33,0.51509955,0.985942588,25.1288857,17.95970287,1.555883272,26.7,29.11903156,5.58,0.087765934,0.034764816,2.048155192,1.216358675,0.129294359,0.442361442,0.48824437,44.84634164,4.168719002,1.795942002
34,0.626265748,0.7266913,4.959902002,20.97779881,1.846293889,21.2,49.57168469,6.46,0.183539486,0.04656972,5.634421372,1.901354358,2.412072581,13.7794066,0.321909378,13.66917495,70.69521694,2.284753873
35,0.529482881,2.151828013,17.16634796,20.52189555,1.755873596,21.4,60.14466638,6.14,7.23911214,0.513795177,1.741391093,0.556614144,7.038328762,16.11241542,2.04407457,38.06897666,99.37373224,2.581327021
